episode,episode_reward,avg_reward,epsilon,sim_seconds,total_departed,avg_departed_per_sec,switch_count,average_queue,average_wait,average_imbalance,cumulative_queue,cumulative_wait,final_total_queue,final_total_wait
137,-10080.68,-33.6023,0.7815,7200,8672,1.2044,194,5.9483,31.8175,5.0167,42828.00,229086.00,9,33
138,-10646.72,-35.4891,0.7799,7200,8692,1.2072,200,6.1904,33.6222,5.1618,44571.00,242080.00,17,125
139,-10033.91,-33.4464,0.7783,7200,8598,1.1942,192,5.9633,31.6525,5.0314,42936.00,227898.00,13,91
140,-10066.97,-33.5566,0.7768,7200,8564,1.1894,199,5.9525,31.7517,5.0506,42858.00,228612.00,12,76
141,-10166.82,-33.8894,0.7752,7200,8628,1.1983,183,5.9696,32.1036,5.0401,42981.00,231146.00,5,20
142,-10130.39,-33.7680,0.7736,7200,8560,1.1889,189,5.9686,31.9660,5.0686,42974.00,230155.00,10,47
143,-10202.86,-34.0095,0.7720,7200,8616,1.1967,207,6.0011,32.1857,5.0747,43208.00,231737.00,13,87
144,-10304.45,-34.3482,0.7704,7200,8774,1.2186,192,6.0657,32.5299,5.1124,43673.00,234215.00,12,80
145,-10080.10,-33.6003,0.7688,7200,8527,1.1843,201,5.9075,31.8156,4.9722,42534.00,229072.00,11,71
146,-10083.59,-33.6120,0.7672,7200,8711,1.2099,196,5.9732,31.8131,5.0660,43007.00,229054.00,5,42
147,-10172.63,-33.9088,0.7657,7200,8592,1.1933,213,5.9815,32.0878,5.0418,43067.00,231032.00,13,104
148,-10356.06,-34.5202,0.7641,7200,8660,1.2028,206,6.0590,32.6874,5.0821,43625.00,235349.00,11,64
149,-10510.39,-35.0346,0.7625,7200,8729,1.2124,193,6.1286,33.1938,5.1417,44126.00,238995.00,8,51
150,-10249.55,-34.1652,0.7609,7200,8622,1.1975,200,6.0394,32.3371,5.0947,43484.00,232827.00,8,38
151,-10056.08,-33.5203,0.7593,7200,8506,1.1814,193,5.9062,31.7432,4.9676,42525.00,228551.00,7,42
152,-10519.12,-35.0637,0.7578,7200,8720,1.2111,189,6.1506,33.2183,5.1592,44284.00,239172.00,8,39
153,-10390.48,-34.6349,0.7562,7200,8690,1.2069,187,6.0918,32.8043,5.1437,43861.00,236191.00,12,101
154,-10349.53,-34.4984,0.7546,7200,8677,1.2051,183,6.0511,32.6847,5.1153,43568.00,235330.00,9,46
155,-10171.90,-33.9063,0.7530,7200,8473,1.1768,206,5.9931,32.0803,5.0492,43150.00,230978.00,11,62
